QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE,MSRP_Product
30,95.7,2,2871.0,Shipped,1,2,2003,Motorcycles,Land of Toys Inc.,NYC,USA,Small,95S10_1678
34,81.35,5,2765.9,Shipped,2,5,2003,Motorcycles,Reims Collectables,Reims,France,Small,95S10_1678
41,94.74,2,3884.34,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,Paris,France,Medium,95S10_1678
45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,Medium,95S10_1678
49,100.0,14,5205.27,Shipped,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,Medium,95S10_1678
36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,Technics Stores Inc.,Burlingame,USA,Medium,95S10_1678
29,86.13,9,2497.77,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,Lille,France,Small,95S10_1678
48,100.0,1,5512.32,Shipped,4,11,2003,Motorcycles,Herkku Gifts,Bergen,Norway,Medium,95S10_1678
22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,Small,95S10_1678
41,100.0,14,4708.44,Shipped,1,1,2004,Motorcycles,Auto Canal Petit,Paris,France,Medium,95S10_1678
37,100.0,1,3965.66,Shipped,1,2,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,Medium,95S10_1678
23,100.0,7,2333.12,Shipped,2,4,2004,Motorcycles,Vitachrome Inc.,NYC,USA,Small,95S10_1678
28,100.0,2,3188.64,Shipped,2,5,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,Medium,95S10_1678
34,100.0,2,3676.76,Shipped,2,6,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,Medium,95S10_1678
45,92.83,1,4177.35,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,Nantes,France,Medium,95S10_1678
36,100.0,6,4099.68,Shipped,3,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,Medium,95S10_1678
23,100.0,9,2597.39,Shipped,3,9,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,Finland,Small,95S10_1678
41,100.0,5,4394.38,Shipped,4,10,2004,Motorcycles,Baane Mini Imports,Stavern,Norway,Medium,95S10_1678
46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,Diecast Classics Inc.,Allentown,USA,Medium,95S10_1678
